id;ci;first_name;last_name;gender;birthdate;address;phone;responsable
1;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
2;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
3;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
4;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
5;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
6;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
7;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
8;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
9;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
10;6989918;juan;maman apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
11;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
12;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
13;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
14;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
15;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
16;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
17;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
18;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
19;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
20;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
21;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
22;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
23;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
24;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
25;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
26;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
27;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
28;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
29;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
30;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
31;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
32;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
33;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
34;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
35;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
36;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
37;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
38;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
39;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
40;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
41;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
42;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
43;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
44;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
45;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
46;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
47;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
48;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
49;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
50;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
51;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
52;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
53;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
54;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
55;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
56;6989918;juan;mamani apaza;masculino;1995-06-06;zona kiswaras;2896654;juan@hotmail.com
