id;ci;first_name;last_name;gender;birthdate;nationality;address;phone;email;profession;speciality
1;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
2;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
3;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
4;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
5;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
6;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
7;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
8;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
9;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
10;6989918;juan;maman apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
11;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
12;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
13;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
14;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
15;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
16;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
17;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
18;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
19;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
20;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
21;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
22;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
23;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
24;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
25;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
26;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
27;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
28;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
29;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
30;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
31;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
32;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
33;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
34;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
35;6989918;juan;mamani apaza;masculino;1995-06-06;boliviano;zona kiswaras;2896654;juan@hotmail.com;abogado;magister
